"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:SECRET_POLICE_INTRO","Have you seen anything like this?","Вы ничего похожего не видели?"
"traveler:SECRET_POLICE_INTRO","Is some kind of symbol for group.","Это - что-то вроде эмблемы той группы."
"traveler:SECRET_POLICE_INTRO","If you have any information, you give to us yes?","Если вы что-то знаете, вы ведь нам расскажете, правда?"
"traveler:SECRET_POLICE_INTRO","Yes?","Да?"
"traveler:SECRET_POLICE_INTRO","@Yes.","@Да."
"traveler:SECRET_POLICE_INTRO","Very good.","Ну, и отлично."
"traveler:SECRET_POLICE_INTRO","Please return my badge and paper.","Пожалуйста, верните мое удостоверение и рисунок."
"traveler:SECRET_POLICE_INTRO","We think suspicious group attempts to stir trouble.","Мы думаем, что есть некая группа лиц, которая пытается создать нам всем проблемы."
"traveler:SECRET_POLICE_INTRO","We think some members enter this checkpoint.","Мы считаем, что некоторые из ее членов прошли через этот пункт."
"traveler:SECRET_POLICE_INTRO","What is this?","Что это?"
"traveler:SECRET_POLICE_INTRO","Interesting.","Интересно."
"traveler:SECRET_POLICE_INTRO","Yes, very interesting.","Да, очень интересно."
"traveler:SECRET_POLICE_INTRO","I think it is best if you come with me.","Я думаю, вам лучше пройти со мной."
"traveler:SECRET_POLICE_INTRO","This group is very dangerous.","Эта группа очень опасна."
"traveler:SECRET_POLICE_INTRO","If you see any curious thing, report immediately.","Если увидите что-то необычное, немедленно сообщите."
"traveler:SECRET_POLICE_CAUGHT","Hello inspector.","Здравствуйте, инспектор."
"traveler:SECRET_POLICE_CAUGHT","There is small discrepancy with your finances.","У вас в финансовой отчетности кое-что не сходится."
"traveler:SECRET_POLICE_CAUGHT","The Ministry of Income was thoughtful enough to notify us.","Министерство доходов любезно нас об этом информировало."
"traveler:SECRET_POLICE_CAUGHT","It is best if you come with me.","Вам лучше пройти со мной."
"traveler:SECRET_POLICE_FINAL","Inspector.","Инспектор!"
"traveler:SECRET_POLICE_FINAL","It has been some time.","Давно не виделись."
"traveler:SECRET_POLICE_FINAL","Read your bulletin carefully today.","Прочтите сегодняшний бюллетень повнимательней."
"traveler:SECRET_POLICE_FINAL","We will be speaking with many workers.","Мы побеседуем со многими сотрудниками."
"traveler:SECRET_POLICE_FINAL","Your audit comes soon.","Ваше слушание совсем скоро."
"traveler:SECRET_POLICE_FINAL","I will personally conduct it.","Я проведу его лично."
"traveler:SECRET_POLICE_FINAL","There is nothing to fear.","Вам бояться нечего."
"traveler:SECRET_POLICE_FINAL","Work hard.","Работайте как следует."
"traveler:JORJI_BASE","All right! You the best!","Отлично! Ты лучше всех!"
"traveler:JORJI_BASE","Arstotzka the best!","Тицкая Федерация лучшая!"
"traveler:JORJI_BASE","Here, take this!","Вот, возьми!"
"traveler:JORJI0","Ok! Here we go!","Ага! Вот я и здесь!"
"traveler:JORJI0","Glory to Arstotzka!","Слава ТФ!"
"traveler:JORJI0","The greatest country!","Самая великая страна!"
"traveler:JORJI0","@Where is your passport?","@Где ваш паспорт?"
"traveler:JORJI0","Passport!","Паспорт!"
"traveler:JORJI0","Arstotzka so great, passport not required.","ТФ такая великая, паспорт не нужно."
"traveler:JORJI0","Right?","Верно?"
"traveler:JORJI0","@A passport is required.","@Без паспорта нельзя."
"traveler:JORJI0","Ok, ok. I hear you.","Ладно, ладно, понял."
"traveler:JORJI0","I come back again.","Потом приду."
"traveler:JORJI1","Ok! Hello again!","Вот! Это снова я!"
"traveler:JORJI1","Now I have passport!","Теперь у меня есть паспорт!"
"traveler:JORJI1","Arstotzka still best country for sure!","ТФ все равно самая великая, это точно!"
"traveler:JORJI1","@This passport is crude fake.","@Этот паспорт - грубая подделка."
"traveler:JORJI1","Hey now! Is not true!","Вы чего! Неправда!"
"traveler:JORJI1","Is pre-approved!","Его уже одобрили!"
"traveler:JORJI1","@ Cobrastan is not a real country.","@ Нет такой страны - Кобрастан."
"traveler:JORJI1","Ok, ok.","Ладно, ладно."
"traveler:JORJI1","You no like passport, I understand.","Мой паспорт вам не нравится, я понял."
"traveler:JORJI1","I come back again with better one.","Я потом приду, новый лучше будет."
"traveler:JORJI2","Old friend hello!","Привет, старина!"
"traveler:JORJI2","I am back again!","Это опять я!"
"traveler:JORJI2","This time everything set.","Теперь все как надо."
"traveler:JORJI2","@You are missing an entry permit.","@У вас нет разрешения на въезд."
"traveler:JORJI2","Oh man you funny guy!","Слушай, ну, ты вообще!"
"traveler:JORJI2","@An entry permit is required.","@Без разрешения на въезд нельзя."
"traveler:JORJI2","Wow, you run very strict border here.","Ну, у вас тут и граница! Не пройдешь!"
"traveler:JORJI2","That is good. Do job right.","Это правильно. Работай как следует."
"traveler:JORJI2","I look for entry thing and come back.","Я найду себе эту штуку на въезд и опять приду."
"traveler:JORJI3","Hey it is me!","Привет, это я!"
"traveler:JORJI3","Are you happy to see?","Рад видеть меня?"
"traveler:JORJI3","I have everything you ask for now.","У меня теперь есть все, что ты просил."
"traveler:JORJI3","@Tickets are no longer accepted.","@Пропуска больше не принимаются."
"traveler:JORJI3","Hey no!","Нет!"
"traveler:JORJI3","Guy sold me ticket. Say is good!","Мне его один парень продал, сказал, годится!"
"traveler:JORJI3","You check again maybe.","Ты еще раз посмотри."
"traveler:JORJI3","@Do not come back again.","@Больше сюда не приходите."
"traveler:JORJI3","Haha!","Ха-ха!"
"traveler:JORJI3","You nice guy but I have business in Arstotzka.","Ты хороший человек, но у меня в ТФ бизнес."
"traveler:JORJI3","I get right papers and come see you.","Найду правильные бумаги и опять к тебе приду."
"traveler:JORJI4","Hello my guy!","Привет, друг!"
"traveler:JORJI4","Ok. Today is day!","Вот. Сегодня все получится!"
"traveler:JORJI4","Look at all good papers.","Смотри, какие хорошие бумаги."
"traveler:JORJI4","Was not easy.","Достать было нелегко."
"traveler:JORJI4","Or cheap! Haha!","И недешево! Ха-ха!"
"traveler:JORJI4","@I told you not to come back.","@Я ведь сказал: больше не приходите."
"traveler:JORJI4","This is crap.","Чушь собачья."
"traveler:JORJI4","You know what? Forget it.","Знаешь что? Забудь, что я говорил."
"traveler:JORJI4","Arstotzka worst country.","ТФ - самая плохая страна."
"traveler:JORJI4","You worst person.","Ты самый худший."
"traveler:JORJI4","Thank you so much!","Спасибо тебе большое."
"traveler:JORJI4","If I am honest to you, I was little nervous.","Если честно, я нервничал."
"traveler:JORJI4","Even with right papers is hard to say.","Даже с хорошими бумагами никогда не угадаешь."
"traveler:JORJI4","Ok bye!","Ладно, пока!"
"traveler:JORJI_SMUGGLE0","Again I am here!","Это снова я!"
"traveler:JORJI_SMUGGLE0","Everything all set up now.","Теперь все как надо."
"traveler:JORJI_SMUGGLE0","I come through often to see you.","Я буду тут часто ходить, чтобы с тобой повидаться."
"traveler:JORJI_SMUGGLE0","We become good friends!","Мы с тобой подружимся!"
"traveler:JORJI_SMUGGLE0","@Your weight is different.","@Вес не соответствует."
"traveler:JORJI_SMUGGLE0","Is sad story.","Это грустно."
"traveler:JORJI_SMUGGLE0","My wife very bad cook.","Моя жена готовит совсем плохо."
"traveler:JORJI_SMUGGLE0","But if I do not eat, she get angry.","А если я не поем, злится."
"traveler:JORJI_SMUGGLE0","Uh oh, maybe you not like this!","Ладно, может, тебе вот это не понравилось..."
"traveler:JORJI_SMUGGLE0","@What is this?","@Что это?"
"traveler:JORJI_SMUGGLE0","Is drugs!","Это наркотики!"
"traveler:JORJI_SMUGGLE0","I have little side business here.","У меня тут маленький бизнес."
"traveler:JORJI_SMUGGLE0","You let me through and I give you something something.","Ты меня пропустишь, а я тебе кое-чего дам."
"traveler:JORJI_SMUGGLE0","@Something what?","@Кое-чего что?"
"traveler:JORJI_SMUGGLE0","Ten credits.","Десять гривень."
"traveler:JORJI_SMUGGLE0","I give you ten credits for just little stamp.","Я тебе дам десять гривень за маленькую печать."
"traveler:JORJI_SMUGGLE0","@Wait here Jorji.","@Стой здесь, Жоржи."
"traveler:JORJI_SMUGGLE0","Is ok, I understand.","Нормально, я понял."
"traveler:JORJI_SMUGGLE0","Drugs are bad. Not good for kids.","Наркотики плохо. Детям вредно."
"traveler:JORJI_SMUGGLE0","You do great work here still.","Ты все равно отлично работаешь."
"traveler:JORJI_SMUGGLE0","Ok!","Ладно!"
"traveler:JORJI_SMUGGLE0","We go full speed!","Мы с тобой пойдем полным ходом!"
"traveler:JORJI_SMUGGLE0","Hey what is problem?","Эй, в чем проблема?"
"traveler:JORJI_SMUGGLE0","@I do not trust you.","@Я вам не доверяю."
"traveler:JORJI_SMUGGLE0","Ok, ok.","Ладно, ладно."
"traveler:JORJI_SMUGGLE0","You good guy so I win trust next time.","Ты человек хороший, а я постараюсь, поверишь мне в следующий раз."
"traveler:JORJI_SMUGGLE1","Ok, I am back!","Я опять пришел!"
"traveler:JORJI_SMUGGLE1","Same procedure!","Все как всегда!"
"traveler:JORJI_SMUGGLE1","They told me this hard business.","Мне говорили, что это дело трудное."
"traveler:JORJI_SMUGGLE1","So far everything smooth like ice!","А пока все гладенько!"
"traveler:JORJI_SMUGGLE1","Thanks to you!","Тебе спасибо!"
"traveler:JORJI_SMUGGLE1","Buy something happy for wife.","Купи что-нибудь хорошенькое для жены."
"traveler:JORJI_SMUGGLE1","Phew!","Фью!"
"traveler:JORJI_SMUGGLE1","Was tough one. Lucky for me, guard was easy.","Трудно было. Мне повезло, охранник пропустил."
"traveler:JORJI_SMUGGLE1","He asks for big money but is reasonable man.","Он просит много, но вообще понимает."
"traveler:JORJI_SMUGGLE1","Oh man, again!","Ох, господи, опять!"
"traveler:JORJI_SMUGGLE1","That guard have another good day.","У охранника снова будет день хороший."
"traveler:JORJI_SMUGGLE1","Not sure I keep this up with no sales!","Я боюсь, я так не смогу, я ведь не продал ничего!"
"traveler:JORJI_SMUGGLE1","Ok, we try again!","Ладно, еще попробуем!"
"traveler:JORJI_SMUGGLE1","Sorry to bother you, but this my only job.","Ты прости, что надоел, но у меня другой работы нет."
"traveler:JORJI_SMUGGLE1","@Wait here, Jorji.","@Стой здесь, Жоржи."
"traveler:JORJI_SMUGGLE1","Is ok, I understand.","Нормально, я понял."
"traveler:JORJI_SMUGGLE1","Drugs are bad. Not good for kids.","Наркотики плохо. Детям вредно."
"traveler:JORJI_SMUGGLE1","You do great work here still.","Ты все равно отлично работаешь."
"traveler:JORJI_SMUGGLE1","@I see a difference here.","@Здесь что-то не совпадает."
"traveler:JORJI_SMUGGLE1","Is real mystery for sure.","Тут прямо тайна, это точно."
"traveler:JORJI_SMUGGLE1","Maybe things get too sexy in here.","Может, тут секса много?"
"traveler:JORJI_SMUGGLE1","@Drugs?","@Наркотики?"
"traveler:JORJI_SMUGGLE1","Looks like good stuff right?","Хорошие, сразу видно, да?"
"traveler:JORJI_SMUGGLE1","Wait! I give you 10 credits for ok stamp!","Стой! Я тебе дам 10 гривень за правильный штампик!"
"traveler:JORJI_SMUGGLE1","Think about family!","Подумай о семье!"
"traveler:JORJI_SMUGGLE1","They can buy many happy things with these credits.","Они на эти кредиты смогут купить много всего хорошенького."
"traveler:JORJI_SMUGGLE1","Just for little harmless drugs!","За какие-то маленькие невредные наркотики!"
"traveler:JORJI_SMUGGLE1","This much better, see?","Так лучше, видишь?"
"traveler:JORJI_SMUGGLE1","Wow, you really stand-up guy.","Ух, а ты несгибаемый совсем."
"traveler:JORJI_SMUGGLE1","Maybe is not so good for me when I think about.","Я так подумал, это, может, для меня не очень хорошо."
"traveler:JORJI_CRIMINAL","Is good to see you again!","Я так рад тебя видеть!"
"traveler:JORJI_CRIMINAL","Today I come just for short visit.","Я сегодня ненадолго."
"traveler:JORJI_CRIMINAL","Everything is definitely ok with me.","У меня все точно в порядке."
"traveler:JORJI_CRIMINAL","For sure I am not in criminal bulletin or anything!","Я точно не в списке преступников и все такое."
"traveler:JORJI_CRIMINAL","@Your face is in wanted bulletin.","@Ваша фотография есть в списке разыскиваемых преступников."
"traveler:JORJI_CRIMINAL","What! I pay police like crazy!","Что! Я полиции как бешеный плачу!"
"traveler:JORJI_CRIMINAL","They promise no bulletin. All clear they say.","Они обещали, списка не будет. Обещали, все чисто."
"traveler:JORJI_CRIMINAL","I think twice about trusting friendly people.","Я теперь не буду ласковым людям доверять."
"traveler:JORJI_CRIMINAL","Hey I really like you.","Слушай, ты мне нравишься."
"traveler:JORJI_CRIMINAL","I know is risky to help me like this.","Я знаю, тебе вот так мне помочь - это опасно."
"traveler:JORJI_CRIMINAL","I try to make it up for you.","Я тебе отплачу, постараюсь."
"traveler:JORJI_CRIMINAL","Ah, is ok.","А, ладно."
"traveler:JORJI_CRIMINAL","At least you do not arrest me.","Ты меня хоть не арестовал и ладно."
"traveler:JORJI_CRIMINAL","Thanks anyways.","Все равно спасибо."
"traveler:JORJI_CRIMINAL","@Sorry Jorji.","@Прости, Жоржи."
"traveler:JORJI_CRIMINAL","Ah, is ok. Most police know me now.","А, ладно. Меня все равно уже вся полиция знает."
"traveler:JORJI_CRIMINAL","I have little talk with them again.","Я с ними еще разик поговорю."
"traveler:JORJI_CRIMINAL","Anyway, you have tough job.","Да, трудная у тебя работа."
"traveler:JORJI_CRIMINAL","I rather sell drugs!","Мне наркотики продавать больше нравится!"
"traveler:JORJI_PASSPORTS","I read newspaper.","Я читал газету."
"traveler:JORJI_PASSPORTS","@Hello Jorji.","@Привет, Жоржи."
"traveler:JORJI_PASSPORTS","Things getting little crazy in Arstotzka.","Что-то ТФ с ума сошла."
"traveler:JORJI_PASSPORTS","Maybe you think about going away for a bit.","Может, тебе стоит уехать ненадолго."
"traveler:JORJI_PASSPORTS","Obristan is good place.","Пивовск - хорошая страна"
"traveler:JORJI_PASSPORTS","Right next door up north.","Сразу на север отсюда."
"traveler:JORJI_PASSPORTS","@Our passports have been confiscated.","@У нас паспорта отобрали."
"traveler:JORJI_PASSPORTS","@We cannot leave.","@Мы не можем уехать."
"traveler:JORJI_PASSPORTS","Hey that not good sign.","Знаешь, это плохой знак."
"traveler:JORJI_PASSPORTS","Hold on.","Погоди."
"traveler:JORJI_PASSPORTS","I know a guy.","Я знаю одного парня."
"traveler:JORJI_PASSPORTS","Just give him real passports to work with.","Ты ему просто даешь настоящие паспорта, он работает."
"traveler:JORJI_PASSPORTS","He changes info to match for you.","Он данные меняет на твои."
"traveler:JORJI_PASSPORTS","I learn that in hard way.","Я это все на своей шкуре изучил."
"traveler:JORJI_PASSPORTS","Thanks again!","Спасибо еще раз!"
"traveler:JORJI_PASSPORTS","Bah! Maybe you right.","Ха! Может, ты и прав."
"traveler:JORJI_PASSPORTS","Better to take little break.","Лучше передохнуть немного."
"traveler:JORJI_PASSPORTS","Hey what the hell?","Эй, ты чего это?"
"traveler:JORJI_PASSPORTS","You take my passport!","Ты мой паспорт забрал!"
"traveler:JORJI_PASSPORTS","You can see it was expensive!","Он денег стоит, сам видишь!"
"traveler:JORJI_PASSPORTS","@You said I need real Obristan passports.","@Ты сам сказал, мне нужны настоящие пивовские паспорта."
"traveler:JORJI_PASSPORTS","Man. Fine.","Тьфу ты. Ладно."
"traveler:JORJI_PASSPORTS","I get another but little unhappy about it.","Я другой найду, но я обиделся."
"traveler:JORJI_PASSPORTS","Memorize flyer and give back.","Все запомни, потом верни."
"traveler:JORJI_PASSPORTS","Hey you know what.","Слушай, знаешь, чего."
"traveler:JORJI_PASSPORTS","Take my passport.","Возьми мой паспорт."
"traveler:JORJI_PASSPORTS","I get another one no problem.","Я другой достану, без проблем."
"traveler:JORJI_PASSPORTS","Now memorize flyer and give back if you finish reading.","Запомни все, что написано, и отдай, если дочитал."
"traveler:JORJI_PASSPORTS","Do not want to get in trouble!","Мне неприятности не нужны!"
"traveler:JORJI_PASSPORTS","Obristan really great this time of year.","В Пивовске в это время года очень красиво."
"traveler:JORJI_PASSPORTS","Lots of snow.","Снега много."
"traveler:JORJI_PASSPORTS","Not sure where you get more passports for family.","Не знаю, где найдешь еще паспорта, для семьи."
"traveler:JORJI_PASSPORTS","But you smart guy.","Но ты же умный."
"traveler:JORJI_PASSPORTS","Probably figure it out!","Придумаешь что-нибудь!"
"traveler:JORJI_PASSPORTS","Good luck.","Удачи тебе."
"traveler:JORJI_GOODBYE","Ho boy! I make big score!","Здорово! Я тут срубил бабла."
"traveler:JORJI_GOODBYE","Huge! You have no idea!","Вагон! Ты себе не представляешь!"
"traveler:JORJI_GOODBYE","Anyway. I just want to say thank you.","В общем, хотел сказать тебе спасибо."
"traveler:JORJI_GOODBYE","I wait in line just for that!","Я для этого в очереди стоял!"
"traveler:JORJI_GOODBYE","Maybe I quit now.","Теперь завяжу, наверное."
"traveler:JORJI_GOODBYE","Haha!","Ха-ха!"
"traveler:BROTHEL0","Hello handsome.","Привет, красавчик!"
"traveler:BROTHEL0","You look bored.","Ты, я смотрю, скучаешь."
"traveler:BROTHEL0","If you want good time, come see us.","Захочешь развлечься - приходи."
"traveler:BROTHEL0","I will be around couple months.","Я тут пару месяцев пробуду."
"traveler:BROTHEL0","Don't forget to visit.","Не забудь, навести меня."
"traveler:BROTHEL1","Hey there.","Привет."
"traveler:BROTHEL1","I can make you happy any time.","Я готова тебя осчастливить! В любое время."
"traveler:BROTHEL1","Come to Pink Vice. Ask for Ava.","Приходи в ""Розу греха"", спроси Аву."
"traveler:BROTHEL2","Oh. Here.","Ой, вот."
"traveler:BROTHEL2","Please help me.","Пожалуйста, помогите мне."
"traveler:BROTHEL3","Hello friend.","Привет, друг."
"traveler:BROTHEL3","You come down, I give you good girl.","Ты приходи, дам хорошую девочку."
"traveler:BROTHEL3","That little bitch.","Эта сучка!"
"traveler:BROTHEL3","I break her in two.","Я ей башку оторву."
"traveler:BROTHEL3","@You are Dari Ludum?","@Вы Дари Лудум?"
"traveler:BROTHEL3","Of course, it says on passport.","А как же, так и в паспорте написано."
"traveler:BROTHEL3","@One moment.","@Минутку."
"traveler:BROTHEL3","What is this shit?","Это что за дерьмо?"
"traveler:BROTHEL3","Give my papers back.","Отдай мои документы."
"traveler:KILLERATHLETE","@You are Vince Lestrade?","@Вы - Винс Лестрейд?"
"traveler:KILLERATHLETE","Damn.","Черт."
"traveler:KILLERATHLETE","Look, I did not kill her. I was set up.","Слушайте, я ее не убивал. Меня подставили."
"traveler:KILLERATHLETE","Do not believe the Republian lies.","Не верьте Вил-ландской брехне."
"traveler:KILLERATHLETE","Let me through.","Пропустите меня."
"traveler:KILLERATHLETE","Shit.","Вот дерьмо."
"traveler:HUSBAND_WIFE0","Today is beautiful day, my friend.","Сегодня прекрасный день, друг мой."
"traveler:HUSBAND_WIFE0","We finally become free from Antegrian tyranny!","Мы наконец вырвались из оков зумернационной тирании!"
"traveler:HUSBAND_WIFE0","Thank you so much!","Спасибо вам огромное!"
"traveler:HUSBAND_WIFE0","Please be kind to my wife, she is just after me.","Пожалуйста, отнеситесь с пониманием к моей жене, она в очереди следующая."
"traveler:HUSBAND_WIFE0","No! They will kill us!","Нет! Они нас убьют!"
"traveler:HUSBAND_WIFE0","Please, I beg you.","Пожалуйста, умоляю."
"traveler:HUSBAND_WIFE0","Let my wife pass. She is coming to you next.","Пропустите мою жену, она следующая."
"traveler:HUSBAND_WIFE1","Did you see my husband?","Вы видели моего мужа?"
"traveler:HUSBAND_WIFE1","He made it through, yes?","Мы ведь пройдем, правда?"
"traveler:HUSBAND_WIFE1","@Where is your entry permit?","@Где ваше разрешение на въезд?"
"traveler:HUSBAND_WIFE1","Please, I beg you.","Пожалуйста, умоляю."
"traveler:HUSBAND_WIFE1","They would not give me permit. I have no choice.","Они не дадут мне разрешение. У меня нет ни шанса."
"traveler:HUSBAND_WIFE1","I will be killed if I return to Antegria.","Если я вернусь в Зумернацию, меня убьют."
"traveler:HUSBAND_WIFE1","Thank you.","Спасибо."
"traveler:HUSBAND_WIFE1","We will not forget.","Мы никогда вас не забудем."
"traveler:HUSBAND_WIFE1","Why?","Но почему?"
"traveler:HUSBAND_WIFE1","You have doomed me.","Вы обрекаете меня на смерть."
"traveler:HUSBAND_WIFE1","Why did you turn my husband away?","Почему вы не пустили моего мужа?"
"traveler:HUSBAND_WIFE1","I will not leave him to die.","Я не оставлю его умирать."
"traveler:HUSBAND_WIFE1","You have doomed us both.","Вы убили нас обоих."
"traveler:HIRING_ENGINEERS_START","You see many people, yes?","У вас тут много народу проходит, да?"
"traveler:HIRING_ENGINEERS_START","I am looking for engineers.","Мне нужны инженеры."
"traveler:HIRING_ENGINEERS_START","Do me a favor.","Сделайте мне одолжение."
"traveler:HIRING_ENGINEERS_START","Give my card to any engineers you meet.","Давайте мою карточку всем инженерам, которые здесь появятся."
"traveler:HIRING_ENGINEERS_START","I come back in few days.","Я снова приду через пару дней."
"traveler:HIRING_ENGINEERS_START","Pay you 5 credits for each engineer that calls me.","Я вам заплачу по 5 кредитов за каждого инженера, который мне позвонил."
"traveler:HIRING_ENGINEERS_START","You make a mistake but I let you fix it.","Вы совершаете ошибку, но я дам вам шанс ее исправить."
"traveler:HIRING_ENGINEERS","What is this?","Что это?"
"traveler:HIRING_ENGINEERS","Oh. Huh. ; Huh. ; They are hiring?","О! Гм. ; Гм. ; Они берут людей на работу?"
"traveler:HIRING_ENGINEERS","I have already.","У меня одна уже есть."
"traveler:HIRING_ENGINEERS","Stop giving to me.","Хватит мне ее совать."
"traveler:HIRING_ENGINEERS","Forget it, take them both. I don't want.","Да заберите их обе. Мне не нужно."
"traveler:HIRING_ENGINEERS_END","Is good card, yes? ; Thanks ; These were not cheap you know. ;","Хорошая карточка, да? ; Спасибо ; Они мне недешево обошлись, знаете ли. ;"
"traveler:HIRING_ENGINEERS_END","I am back.","Это снова я."
"traveler:HIRING_ENGINEERS_END","How many engineers did you meet?","Много инженеров попалось?"
"traveler:HIRING_ENGINEERS_END","I got no calls.","Мне никто не звонил."
"traveler:HIRING_ENGINEERS_END","You gave my cards to no one.","Вы мою карточку никому не давали."
"traveler:HIRING_ENGINEERS_END","Thank you for nothing.","Спасибо, что на меня наплевали."
"traveler:HIRING_ENGINEERS_END","I get only one call.","Был всего один звонок."
"traveler:HIRING_ENGINEERS_END","I'm lucky that he is good lead.","Мне повезло, он классный специалист."
"traveler:HIRING_ENGINEERS_END","Here is what I promised.","Вот, как обещал."
"traveler:HIRING_ENGINEERS_END","I got two calls.","Мне позвонили двое."
"traveler:HIRING_ENGINEERS_END","One guy, he was good.","Один был очень неплох."
"traveler:HIRING_ENGINEERS_END","Other one not so much.","Второй так себе."
"traveler:HIRING_ENGINEERS_END","Thanks anyways.","Все равно спасибо."
"traveler:HIRING_ENGINEERS_END","I got three calls.","Мне позвонили трое."
"traveler:HIRING_ENGINEERS_END","Two guys were good.","Двое годятся."
"traveler:HIRING_ENGINEERS_END","Last one was a fool. Didn't know basics.","Третий совсем дурак. Самых простых вещей не знает."
"traveler:HIRING_ENGINEERS_END","But is ok. I appreciate.","Но это неважно. Я вам благодарен."
"traveler:HIRING_ENGINEERS_END","I got four calls.","Мне позвонили четыре человека."
"traveler:HIRING_ENGINEERS_END","Three were civil engineers. Useless.","Трое были инженеры-строители. Мне они ни к чему."
"traveler:HIRING_ENGINEERS_END","I need mechanicals. I told you.","Мне нужны механики. Я же вам сказал."
"traveler:HIRING_ENGINEERS_END","Anyway, is ok. Last guy very sharp.","Ладно, сойдет. Последний оказался с головой."
"traveler:HIRING_ENGINEERS_END","Thanks for the help.","Спасибо за помощь."
"traveler:FRIENDLY_GUARD0","Hello.","Привет."
"traveler:FRIENDLY_GUARD0","I heard that you are from Nirsk?","Я слышал, ты из Нирска?"
"traveler:FRIENDLY_GUARD0","I grew up there but I have not been back in many years.","Я там вырос, но уже много лет не был."
"traveler:FRIENDLY_GUARD0","@It is still a shit-hole. As before.","@Не город, а грязная дыра. Как был, так и остался."
"traveler:FRIENDLY_GUARD0","Haha, of course. This is what I remember too.","Ха-ха, точно. Я тоже его таким запомнил."
"traveler:FRIENDLY_GUARD0","I am Sergiu. It is good to meet you.","Я Сергиу. Рад познакомиться."
"traveler:FRIENDLY_GUARD0","I will do my best to keep you safe.","Я тебя буду охранять как следует."
"traveler:FRIENDLY_GUARD1","Thank you for yesterday.","Спасибо за вчерашнее."
"traveler:FRIENDLY_GUARD1","My aim is not like before.","Я уже давно не снайпер."
"traveler:FRIENDLY_GUARD2","There is more action at this checkpoint than in the war.","На этом пункте стрельбы больше, чем на войне."
"traveler:FRIENDLY_GUARD2","I fought in Kolechia for 5 years.","Я в Эндеронии 5 лет воевал."
"traveler:FRIENDLY_GUARD2","If you think it is bad in Arstotzka, it is ten times worse in Kolechia.","Если ты думаешь, что в ТФ плохо, это ты в Эндеронии не был. Там в 10 раз хуже."
"traveler:FRIENDLY_GUARD2","I do not blame them for coming here.","Можно понять, чего они сюда ломятся."
"traveler:FRIENDLY_GUARD2","Anyways, you are doing well. Keep it up.","В общем, ты отлично справляешься. Так и продолжай."
"traveler:FRIENDLY_GUARD3","Friend, how are you?","Друг, как дела?"
"traveler:FRIENDLY_GUARD3","I have a small favor to ask.","Хочу тебя попросить о небольшом одолжении."
"traveler:FRIENDLY_GUARD3","During the war, I met a beautiful girl.","Я на войне встретил чудесную девушку."
"traveler:FRIENDLY_GUARD3","I think about her every moment.","Я про нее каждую минуту думаю."
"traveler:FRIENDLY_GUARD3","Yesterday I receive word that she is finally coming here.","Вчера мне дали знать, что она все-таки едет сюда."
"traveler:FRIENDLY_GUARD3","Please, let her pass and I will be in your debt.","Пожалуйста, пропусти ее, я в долгу не останусь."
"traveler:FRIENDLY_GUARD3","Her name is Elisa.","Ее зовут Элиза."
"traveler:FRIENDLY_GUARD4","Thank you for everything.","Спасибо тебе за все."
"traveler:FRIENDLY_GUARD4","Elisa is so happy here.","Элизе тут так нравится!"
"traveler:FRIENDLY_GUARD4","She says our first son will have your name.","Она говорит, что нашего первенца мы назовем твоим именем."
"traveler:FRIENDLY_GUARD4","This is fine but I told her I want a daughter first!","Я согласен, только я ей сказал, что сначала хочу дочку!"
"traveler:FRIENDLY_GUARD4","I would like to show the locket to her.","Я хочу показать ей медальон."
"traveler:FRIENDLY_GUARD4","Do you still have it?","Он еще у тебя?"
"traveler:FRIENDLY_GUARD4","Ah, I missed not having this with me.","Ох, мне без него было так плохо."
"traveler:FRIENDLY_GUARD4","It is not much, but we have found a small way to thank you.","Это немного, но мы придумали, как тебя отблагодарить."
"traveler:FRIENDLY_GUARD4","Elisa will deliver it to your home. I hope that it helps.","Элиза сама принесет, к тебе домой. Надеюсь, поможет."
"traveler:FRIENDLY_GUARD4","Tomorrow I am transferred to another post.","Завтра меня переводят."
"traveler:FRIENDLY_GUARD4","Stay safe my friend.","Береги себя, друг."
"traveler:FRIENDLY_GUARD4","Elisa did not come.","Элиза не приехала."
"traveler:FRIENDLY_GUARD4","@She arrived, but her papers were not in order.","@Она приезжала, но у нее не все бумаги в порядке."
"traveler:FRIENDLY_GUARD4","@Tell her to try again with the correct documents.","@Скажи ей, чтобы еще раз попробовала, с нормальными документами."
"traveler:FRIENDLY_GUARD4","You know this is impossible.","Ты же знаешь, что ничего не получится."
"traveler:FRIENDLY_GUARD4","If you have the locket, give it back to me.","Медальон еще у тебя? Отдай."
"traveler:ELISA","Do you know Sergiu?","Вы знаете Сергиу?"
"traveler:ELISA","He said you were friend. That you would help.","Он сказал, вы друг. Вы поможете."
"traveler:ELISA","Please, my family is gone.","Прошу вас, вся моя семья погибла."
"traveler:ELISA","I have only Sergiu left.","У меня никого нет, кроме Сергиу."
"traveler:ELISA","@You do not have the required documentation.","@У вас нет необходимых документов."
"traveler:ELISA","I tried for so long.","Я столько времени все собирала!"
"traveler:ELISA","They would not allow me to leave.","Они меня не выпускали."
"traveler:ELISA","I am denied?","Отказ?"
"traveler:ELISA","I understand.","Понятно."
